AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;FH;130821;PARTICULIERS SALARIES;73160;;;ANOMALIE - Document d'identité expiré;;
1017;FH;577574;Autres services NCA;127331;;;ANOMALIE - Document d'identité expiré;;Légende: Champs en anomalie stock
1017;FH;117822;PARTICULIERS SALARIES;19861;;;ANOMALIE - Document d'identité expiré;;
1017;FH;116311;PARTICULIERS SALARIES;16250;;;ANOMALIE - Document d'identité expiré;;
1017;FH;130854;PARTICULIERS SALARIES;73282;;;ANOMALIE - Document d'identité expiré;;
1017;FH;578418;comptes internes;142890;;;ANOMALIE - Document d'identité expiré;;
1017;FH;307524;PARTICULIERS SALARIES;10923;;;ANOMALIE - Document d'identité expiré;;
1017;FH;186288;PARTICULIERS SALARIES;20038;;;ANOMALIE - Document d'identité expiré;;
1017;K7;189889;PARTICULIERS SALARIES;63746;;;ANOMALIE - Document d'identité expiré;;
1017;K7;182590;PARTICULIERS SALARIES;5730;;;ANOMALIE - Document d'identité expiré;;
1017;K7;429567;PARTICULIERS SALARIES;69732;;;ANOMALIE - Document d'identité expiré;;
1017;K7;184569;PARTICULIERS SALARIES;10273;;;ANOMALIE - Document d'identité expiré;;
1017;K7;186892;Particuliers non commerciaux;23068;;;ANOMALIE - Document d'identité expiré;;
1017;K7;182529;PARTICULIERS SALARIES;10014;;;ANOMALIE - Document d'identité expiré;;
1017;K7;182135;PARTICULIERS SALARIES;7402;;;ANOMALIE - Document d'identité expiré;;
1017;K7;182985;Particuliers non commerciaux;7298;;;ANOMALIE - Document d'identité expiré;;
1017;K7;902952;Autres services NCA;109548;;;ANOMALIE - Document d'identité expiré;;
1017;TV;580130;Autres services NCA;176615;;;ANOMALIE - Document d'identité expiré;;
1017;U4;208487;PARTICULIERS SALARIES;11931;;;ANOMALIE - Document d'identité expiré;;
1017;MN;427440;PARTICULIERS SALARIES;34293;;;ANOMALIE - Document d'identité expiré;;
1017;MN;432420;Autres services NCA;115609;;;ANOMALIE - Document d'identité expiré;;
1017;TL;578134;PARTICULIERS SALARIES;136526;;;ANOMALIE - Document d'identité expiré;;
1017;AB;602146;PARTICULIERS SALARIES;74381;;;ANOMALIE - Document d'identité expiré;;
