Agents;Taux;Date;flux_stock;pp_pm
[4;95;2026-03-17 06:54:00.4282650 +00:00;F;P
AUD;96;2026-03-17 06:54:00.4282650 +00:00;F;P
NI;72;2026-03-17 06:54:00.4282650 +00:00;F;P
0K;92;2026-03-17 06:54:00.4282650 +00:00;F;P
27;92;2026-03-17 06:54:00.4282650 +00:00;F;P
[9;79;2026-03-17 06:54:00.4282650 +00:00;F;P
57;100;2026-03-17 06:54:00.4282650 +00:00;F;P
BDB;90;2026-03-17 06:54:00.4282650 +00:00;F;P
AQ;62;2026-03-17 06:54:00.4282650 +00:00;F;P
4};0;2026-03-17 06:54:00.4282650 +00:00;F;P
}F;85;2026-03-17 06:54:00.4282650 +00:00;F;P
AUG;55;2026-03-17 06:54:00.4282650 +00:00;F;P
BBM;100;2026-03-17 06:54:00.4282650 +00:00;F;P
7W;86;2026-03-17 06:54:00.4282650 +00:00;F;P
}L;58;2026-03-17 06:54:00.4282650 +00:00;F;P
J4;88;2026-03-17 06:54:00.4282650 +00:00;F;P
82;73;2026-03-17 06:54:00.4282650 +00:00;F;P
BLQ;92;2026-03-17 06:54:00.4282650 +00:00;F;P
O};100;2026-03-17 06:54:00.4282650 +00:00;F;P
BCR;94;2026-03-17 06:54:00.4282650 +00:00;F;P
AML;66;2026-03-17 06:54:00.4282650 +00:00;F;P
BDJ;100;2026-03-17 06:54:00.4282650 +00:00;F;P
J3;92;2026-03-17 06:54:00.4282650 +00:00;F;P
V8;100;2026-03-17 06:54:00.4282650 +00:00;F;P
BSV;92;2026-03-17 06:54:00.4282650 +00:00;F;P
AMM;75;2026-03-17 06:54:00.4282650 +00:00;F;P
ASP;89;2026-03-17 06:54:00.4282650 +00:00;F;P
{T;86;2026-03-17 06:54:00.4282650 +00:00;F;P
BLS;85;2026-03-17 06:54:00.4282650 +00:00;F;P
3};85;2026-03-17 06:54:00.4292710 +00:00;F;P
AUC;85;2026-03-17 06:54:00.4292710 +00:00;F;P
36;71;2026-03-17 06:54:00.4292710 +00:00;F;P
ARW;87;2026-03-17 06:54:00.4292710 +00:00;F;P
BLL;90;2026-03-17 06:54:00.4292710 +00:00;F;P
6H;96;2026-03-17 06:54:00.4292710 +00:00;F;P
BVU;90;2026-03-17 06:54:00.4292710 +00:00;F;P
BBS;81;2026-03-17 06:54:00.4292710 +00:00;F;P
ALU;91;2026-03-17 06:54:00.4292710 +00:00;F;P
1;84;2026-03-17 06:54:00.4292710 +00:00;F;P
H7;80;2026-03-17 06:54:00.4292710 +00:00;F;P
7Z;89;2026-03-17 06:54:00.4292710 +00:00;F;P
5{;87;2026-03-17 06:54:00.4292710 +00:00;F;P
MU;75;2026-03-17 06:54:00.4292710 +00:00;F;P
ATD;90;2026-03-17 06:54:00.4292710 +00:00;F;P
-3;85;2026-03-17 06:54:00.4292710 +00:00;F;P
BVV;100;2026-03-17 06:54:00.4292710 +00:00;F;P
Y3;93;2026-03-17 06:54:00.4292710 +00:00;F;P
H5;81;2026-03-17 06:54:00.4292710 +00:00;F;P
}Z;84;2026-03-17 06:54:00.4292710 +00:00;F;P
OI;63;2026-03-17 06:54:00.4292710 +00:00;F;P
9[;82;2026-03-17 06:54:00.4292710 +00:00;F;P
-5;100;2026-03-17 06:54:00.4292710 +00:00;F;P
0X;92;2026-03-17 06:54:00.4292710 +00:00;F;P
AOA;92;2026-03-17 06:54:00.4292710 +00:00;F;P
17;92;2026-03-17 06:54:00.4292710 +00:00;F;P
BJJ;100;2026-03-17 06:54:00.4292710 +00:00;F;P
{Q;90;2026-03-17 06:54:00.4292710 +00:00;F;P
W8;94;2026-03-17 06:54:00.4300320 +00:00;F;P
JH;100;2026-03-17 06:54:00.4300320 +00:00;F;P
H3;98;2026-03-17 06:54:00.4300320 +00:00;F;P
8];100;2026-03-17 06:54:00.4300320 +00:00;F;P
8};93;2026-03-17 06:54:00.4300320 +00:00;F;P
-9;93;2026-03-17 06:54:00.4300320 +00:00;F;P
CVI;81;2026-03-17 06:54:00.4300320 +00:00;F;P
}Y;92;2026-03-17 06:54:00.4300320 +00:00;F;P
ANZ;96;2026-03-17 06:54:00.4300320 +00:00;F;P
COD;100;2026-03-17 06:54:00.4300320 +00:00;F;P
I4;100;2026-03-17 06:54:00.4300320 +00:00;F;P
I{;97;2026-03-17 06:54:00.4300320 +00:00;F;P
#NOM?;94;2026-03-17 06:54:00.4300320 +00:00;F;P
S-;100;2026-03-17 06:54:00.4300320 +00:00;F;P
}U;94;2026-03-17 06:54:00.4300320 +00:00;F;P
{N;95;2026-03-17 06:54:00.4300320 +00:00;F;P
-C;100;2026-03-17 06:54:00.4300320 +00:00;F;P
[J;100;2026-03-17 06:54:00.4300320 +00:00;F;P
AMN;90;2026-03-17 06:54:00.4300320 +00:00;F;P
8{;53;2026-03-17 06:54:00.4300320 +00:00;F;P
KY;80;2026-03-17 06:54:00.4300320 +00:00;F;P
AY;75;2026-03-17 06:54:00.4300320 +00:00;F;P
79;94;2026-03-17 06:54:00.4300320 +00:00;F;P
Z};83;2026-03-17 06:54:00.4300320 +00:00;F;P
O8;95;2026-03-17 06:54:00.4300320 +00:00;F;P
AMR;81;2026-03-17 06:54:00.4300320 +00:00;F;P
M[;93;2026-03-17 06:54:00.4300320 +00:00;F;P
I[;82;2026-03-17 06:54:00.4300320 +00:00;F;P
[0;96;2026-03-17 06:54:00.4300320 +00:00;F;P
5};96;2026-03-17 06:54:00.4300320 +00:00;F;P
]4;92;2026-03-17 06:54:00.4300320 +00:00;F;P
A1;96;2026-03-17 06:54:00.4300320 +00:00;F;P
{5;100;2026-03-17 06:54:00.4300320 +00:00;F;P
87;81;2026-03-17 06:54:00.4300320 +00:00;F;P
H9;61;2026-03-17 06:54:00.4300320 +00:00;F;P
AMJ;100;2026-03-17 06:54:00.4300320 +00:00;F;P
BCS;93;2026-03-17 06:54:00.4300320 +00:00;F;P
