Flux PM;Flux PP;Stock PM;Stock PP;Date
95;90;95;89;31/07/2024
98;90;95;89;31/08/2024
100;99;98;91;30/09/2024
100;100;98;91;31/10/2024
100;90;98;90;30/11/2024
100;99;98;90;31/12/2024
85;100;70;100;31/01/2025
86;100;67;94;28/02/2025
86;100;68;95;31/03/2025
85;100;69;100;30/04/2025
83;100;69;100;31/05/2025
85;99;77;99;30/06/2025
86;100;77;99;31/07/2025
85;99;77;99;31/08/2025
86;99;71;99;30/09/2025
87;99;72;99;31/10/2025
85;99;72;99;30/11/2025
86;99;72;99;31/12/2025
85;98;71;94;31/01/2026
87;98;71;94;28/02/2026
81;90;85;88;31/07/2024
82;90;85;88;31/08/2024
80;100;94;89;30/09/2024
100;100;95;89;31/10/2024
100;100;95;89;30/11/2024
97;100;93;100;31/12/2024
91;100;83;100;31/01/2025
89;100;80;97;28/02/2025
90;100;83;100;31/03/2025
84;100;83;100;30/04/2025
89;100;81;100;31/05/2025
88;99;83;99;30/06/2025
88;99;83;99;31/07/2025
89;99;83;99;31/08/2025
89;99;83;99;30/09/2025
87;100;83;99;31/10/2025
88;100;85;99;30/11/2025
90;99;85;99;31/12/2025
94;99;84;97;31/01/2026
96;99;84;97;28/02/2026
89;90;80;90;31/07/2024
100;99;83;90;31/08/2024
75;93;83;90;30/09/2024
80;94;83;90;31/10/2024
89;100;84;100;30/11/2024
93;100;84;100;31/12/2024
95;100;87;100;31/01/2025
99;99;89;93;28/02/2025
99;100;87;100;31/03/2025
98;100;87;100;30/04/2025
96;100;87;100;31/05/2025
95;99;87;99;30/06/2025
98;99;87;99;31/07/2025
97;100;87;99;31/08/2025
97;99;87;99;30/09/2025
96;100;87;99;31/10/2025
97;100;87;99;30/11/2025
99;100;87;99;31/12/2025
98;98;87;93;31/01/2026
97;99;87;93;28/02/2026
86;100;80;99;31/10/2025
87;100;80;99;30/11/2025
87;100;80;99;31/12/2025
87;99;80;98;31/01/2026
87;99;80;98;28/02/2026
88;99;81;99;31/10/2025
88;99;81;99;30/11/2025
89;99;81;99;31/12/2025
90;99;81;96;31/01/2026
87;99;81;96;28/02/2026
65;99;67;98;30/09/2025
65;100;67;98;31/10/2025
66;100;67;98;30/11/2025
70;93;67;89;31/12/2025
76;98;67;88;31/01/2026
77;98;67;88;28/02/2026
100;100;77;73;31/07/2024
100;100;79;75;31/08/2024
100;90;78;86;30/09/2024
100;94;76;87;31/10/2024
100;95;77;87;30/11/2024
100;100;100;100;31/12/2024
82;100;65;100;31/01/2025
75;98;62;87;28/02/2025
71;98;62;87;31/03/2025
76;98;61;98;30/04/2025
76;97;61;98;31/05/2025
79;99;62;99;30/06/2025
77;99;62;99;31/07/2025
75;98;62;99;31/08/2025
73;98;61;99;30/09/2025
73;98;62;99;31/10/2025
82;100;62;99;30/11/2025
82;97;62;99;31/12/2025
79;95;61;87;31/01/2026
73;99;61;87;28/02/2026
83;89;61;87;31/07/2024
86;89;62;87;31/08/2024
92;94;78;88;30/09/2024
90;94;78;88;31/10/2024
97;95;78;94;30/11/2024
100;100;100;100;31/12/2024
79;100;76;100;31/01/2025
75;98;72;96;28/02/2025
76;99;73;99;31/03/2025
76;98;72;98;30/04/2025
76;99;72;98;31/05/2025
75;99;73;98;30/06/2025
73;99;73;98;31/07/2025
83;99;73;98;31/08/2025
85;99;73;98;30/09/2025
85;100;77;99;31/10/2025
89;99;80;99;30/11/2025
87;99;78;98;31/12/2025
87;98;77;95;31/01/2026
87;97;77;95;28/02/2026
94;90;81;89;31/07/2024
92;90;81;89;31/08/2024
100;99;97;90;30/09/2024
100;99;97;90;31/10/2024
100;99;97;90;30/11/2024
99;100;97;100;31/12/2024
99;100;88;100;31/01/2025
98;100;82;98;28/02/2025
99;83;83;100;31/03/2025
99;83;83;100;30/04/2025
100;57;84;100;31/05/2025
98;99;79;99;30/06/2025
93;99;79;99;31/07/2025
99;99;79;99;31/08/2025
99;99;82;99;30/09/2025
98;99;84;99;31/10/2025
99;99;84;99;30/11/2025
97;99;84;99;31/12/2025
99;99;84;97;31/01/2026
99;99;84;97;28/02/2026
